Longitude,Latitude,Altitude
-69.959042,44.357054,64.054697
-69.959046,44.357005,64.054687
-69.958934,44.356968,64.054704
-69.958847,44.356921,64.054701
-69.958764,44.3569,64.054669
-69.958696,44.356884,64.054664
-69.958625,44.356839,64.054679
-69.958544,44.35678,64.054686
-69.958457,44.356732,64.054699
-69.958397,44.356692,64.054663
-69.958358,44.356645,64.054711
-69.958323,44.356611,64.054683
-69.958272,44.356562,64.054691
-69.958168,44.35657,64.054718
-69.958136,44.356634,64.054702
-69.958163,44.356699,64.05471
-69.958241,44.356764,64.054699
-69.958341,44.356816,64.054655
-69.958463,44.356869,64.054665
-69.958566,44.356917,64.054738
-69.958674,44.356949,64.0547
-69.95875,44.356972,64.054678
-69.958853,44.357004,64.054679
-69.958962,44.357056,64.054681
-69.959042,44.357054,64.054697
